method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'/acunetix-wvs-test-for-some-inexistent-file',b'',0,0,0,0,0,0,0
GET,b'/',b'',0,0,0,0,0,0,0
GET,b'/',b'',0,0,0,0,0,0,0
GET,b'/index.jsp',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=personal.htm',b'',0,0,0,0,0,0,0
GET,b'/feedback.jsp',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=inside_contact.htm',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=business.htm',b'',0,0,0,0,0,0,0
GET,b'/login.jsp',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=inside.htm',b'',0,0,0,0,0,0,0
GET,b'/login.jsp',b'',0,0,0,0,0,0,0
POST,b'/doLogin',b'uid=test2&passw=test2&btnSubmit=Login',0,0,0,0,0,1,0
GET,b'/',b'',0,0,0,0,0,0,0
GET,b'/',b'',0,0,0,0,0,0,0
GET,b'/index.jsp',b'',0,0,0,0,0,0,0
GET,b'/login.jsp',b'',0,0,0,0,0,0,0
POST,b'/doLogin',b'uid=test2&passw=test2&btnSubmit=Login',0,0,0,0,0,1,0
GET,b'/login.jsp',b'',0,0,0,0,0,0,0
GET,b'/login.jsp',b'',0,0,0,0,0,0,0
GET,b'/',b'',0,0,0,0,0,0,0
GET,b'/',b'',0,0,0,0,0,0,0
GET,b'/',b'',0,0,0,0,0,0,0
GET,b'/',b'',0,0,0,0,0,0,0
GET,b'/NiUo4SGv',b'',0,0,0,0,0,0,0
GET,b'/A221W2TI',b'',0,0,0,0,0,0,0
GET,b'/MXzfooPR',b'',0,0,0,0,0,0,0
GET,b'/cgi-bin/le_check_v3.exe',b'',0,0,0,0,0,0,0
GET,b'/login.jsp',b'',0,0,0,0,0,0,0
POST,b'/doLogin',b'uid=test2&passw=test2&btnSubmit=Login',0,0,0,0,0,1,0
GET,b'/',b'',0,0,0,0,0,0,0
POST,b'/doLogin',b'btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=1',0,0,0,0,0,1,0
GET,b'/index.jsp?content=personal_other.htm',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=business_cards.htm',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=business.htm',b'',0,0,0,0,0,0,0
GET,b'/search.jsp?query=1',b'',0,0,0,0,0,0,0
GET,b'/doLogin',b'',0,0,0,0,0,0,0
GET,b'/search.jsp',b'',0,0,0,0,0,0,0
GET,b'/index.jsp',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=business_lending.htm',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=business_insurance.htm',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=personal_investments.htm',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=inside_investor.htm',b'',0,0,0,0,0,0,0
GET,b'/subscribe.jsp',b'',0,0,0,0,0,0,0
GET,b'/swagger/index.html',b'',0,0,0,0,0,0,0
GET,b'/status_check.jsp',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=business_deposit.htm',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=inside_press.htm',b'',0,0,0,0,0,0,0
GET,b'/index.jsp?content=business_retirement.htm',b'',0,0,0,0,0,0,0
GET,b'/feedback.jsp',b'',0,0,0,0,0,0,0
GET,b'/doLogin',b'',0,0,0,0,0,0,0
GET,b'/images',b'',0,0,0,0,0,0,0
GET,b'/swagger',b'',0,0,0,0,0,0,0
GET,b'/robots.txt',b'',0,0,0,0,0,0,0
GET,b'/default.jsp?content=security.htm',b'',0,0,0,0,0,0,0
GET,b'/default.jsp',b'',0,0,0,0,0,0,0
GET,b'/survey_questions.jsp',b'',0,0,0,0,0,0,0
POST,b'/sendFeedback',b'submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=oibowlem&subject=1',0,0,0,0,0,0,0
GET,b'/my%20documents',b'',0,0,0,0,1,0,0
GET,b'/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm',b'',0,0,0,0,3,0,0
GET,b'/my%20documents/JohnSmith',b'',0,0,0,0,1,0,0
GET,b'/sendFeedback',b'',0,0,0,0,0,0,0
GET,b'/retirement.htm',b'',0,0,0,0,0,0,0
GET,b'/admin/clients.xls',b'',0,0,0,0,0,0,0
GET,b'/admin',b'',0,0,0,0,0,0,0
